date,subscribers,change,reach,ERR,advertising_reach,mentions
23 Январь 2023,38001,117,10872,28.6,,| Редакция.Наука - @redakciya_nauka 25052 упомянул канал23 Январь 2023 в 18:01ссылка: https://tgstat.ru/channel/@redakciya_nauka/882 |
22 Январь 2023,37884,105,10703,28.3,,
21 Январь 2023,37779,89,10620,28.1,,
20 Январь 2023,37690,102,10526,27.9,,
19 Январь 2023,37588,134,10461,27.8,9995,
18 Январь 2023,37454,181,10413,27.8,,| Скворечник Воробьева: Топ Подмосковья - @TopMosReg 421 упомянул запись18 Январь 2023 в 18:10ссылка: https://tgstat.ru/channel/@TopMosReg/767 || Скворечник Воробьева: Топ Подмосковья - @TopMosReg 421 упомянул запись18 Январь 2023 в 18:10ссылка: https://tgstat.ru/channel/@TopMosReg/768 || Непарадная Москва - @elena_krizhevskaya 18481 упомянул запись18 Январь 2023 в 14:00ссылка: https://tgstat.ru/channel/@elena_krizhevskaya/2175 |
17 Январь 2023,37273,-41,10397,27.9,,
16 Январь 2023,37314,-42,10391,27.8,,
15 Январь 2023,37356,-30,10354,27.7,,
14 Январь 2023,37386,-53,10330,27.6,,
13 Январь 2023,37439,53,10323,27.6,,
12 Январь 2023,37386,91,10316,27.6,9750,
11 Январь 2023,37295,100,10306,27.6,,
10 Январь 2023,37195,95,10304,27.7,,
09 Январь 2023,37100,62,10355,27.9,,
08 Январь 2023,37038,65,10316,27.9,,
07 Январь 2023,36973,92,10327,27.9,,
06 Январь 2023,36881,91,10311,28,,
05 Январь 2023,36790,38,10296,28,8644,
04 Январь 2023,36752,57,10304,28,,
03 Январь 2023,36695,15,10292,28,,
02 Январь 2023,36680,49,10288,28,,
01 Январь 2023,36631,57,10270,28,,
31 Декабрь 2022,36574,50,10258,28,,
30 Декабрь 2022,36524,27,10249,28.1,,
29 Декабрь 2022,36497,37,10264,28.1,8599,
28 Декабрь 2022,36460,40,10247,28.1,,
27 Декабрь 2022,36420,20,10272,28.2,,
26 Декабрь 2022,36400,16,10376,28.5,,
25 Декабрь 2022,36384,40,10266,28.2,,
24 Декабрь 2022,36344,19,10217,28.1,,
23 Декабрь 2022,36325,43,10267,28.3,,
22 Декабрь 2022,36282,-34,10277,28.3,9006,
21 Декабрь 2022,36316,-78,10312,28.4,,
20 Декабрь 2022,36394,-14,10306,28.3,,
19 Декабрь 2022,36408,-10,10299,28.3,,| Теория Большого Шока - @bigshocktheory 108070 упомянул канал19 Декабрь 2022 в 12:00ссылка: https://tgstat.ru/channel/@bigshocktheory/28024 |
18 Декабрь 2022,36418,155,10273,28.2,,
17 Декабрь 2022,36263,386,10227,28.2,,| КУЧЕРА - @O_KUCHERA 59060 упомянул канал17 Декабрь 2022 в 18:05ссылка: https://tgstat.ru/channel/@O_KUCHERA/4398 || Яна Поплавская - @the_yana_poplavskaya 33333 упомянул канал17 Декабрь 2022 в 17:47ссылка: https://tgstat.ru/channel/@the_yana_poplavskaya/1106 |
16 Декабрь 2022,35877,17,10241,28.5,,| Ностальгия - RKwwm9yw6KuD_8hJ 87153 упомянул канал16 Декабрь 2022 в 13:38ссылка: https://tgstat.ru/channel/RKwwm9yw6KuD_8hJ/3845 |
15 Декабрь 2022,35860,189,10253,28.6,9175,
14 Декабрь 2022,35671,537,10233,28.7,,| Суббота Субботиной - @SubbotinaDasha 7325 упомянул канал14 Декабрь 2022 в 14:29ссылка: https://tgstat.ru/channel/@SubbotinaDasha/2129 || Теперь живите с этим - @viveconesto 53175 упомянул канал14 Декабрь 2022 в 09:35ссылка: https://tgstat.ru/channel/@viveconesto/6117 |
13 Декабрь 2022,35134,537,10204,29,,| Крыша ТурДома - @tourdom 48094 упомянул канал13 Декабрь 2022 в 15:30ссылка: https://tgstat.ru/channel/@tourdom/23616 || НЮХАЧ - @nuhachrus 59198 упомянул канал13 Декабрь 2022 в 10:17ссылка: https://tgstat.ru/channel/@nuhachrus/6577 || Свободный человек - @freier_Mann 9575 упомянул канал13 Декабрь 2022 в 09:30ссылка: https://tgstat.ru/channel/@freier_Mann/16136 || Глобальная перезагрузка - @sensible_people 35160 упомянул канал13 Декабрь 2022 в 09:30ссылка: https://tgstat.ru/channel/@sensible_people/11088 |
12 Декабрь 2022,34597,357,10210,29.5,,
11 Декабрь 2022,34240,0,10180,29.7,,| Музейный патруль - @muspatrol 39709 упомянул канал11 Декабрь 2022 в 20:01ссылка: https://tgstat.ru/channel/@muspatrol/1832 |
